자연어 쿼리,tagging된 자연어 쿼리,활용 여부,DB Query,,,,
what did kenny everett die off?,what did <PERSON> die off?,O,match (h)-[:CAUSE_OF_DEATH]-(c) where h.name=<PERSON> return c.name,,,,
what main language do they speak in brazil?,what main language do they speak in <LOCATION>?,O,match (c)-[:OFFICIAL_LANGUAGE]-(ol) where c.name=<LOCATION> return ol.name,,,,
where does joey king live?,where does <PERSON> live?,X,,,,,
what happened to justin bieber 2012?,what happened to <PERSON> <DATE>?,X,,,,,
how many australian states and territories?,how many <LOCATION> states and territories?,O,match (m)-[:CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(t) where m.name=<LOCATION> return t.name,,,,
what was manchester united first name?,what was <ORGANIZATION> name?,X,,,,,
who is the governor of hawaii now?,who is the governor of <LOCATION> <DATE>?,O,match (loc)-[:HEAD_OF_GOVERNMENT]-(h) where loc.name=<LOCATION> return h.name,,,,
when did herbert hoover become president?,when did <PERSON> become president?,X,,,,,
where did elvis presley started his career?,where did <PERSON> started his career?,X,,,,,
what happened vince mcmahon?,what happened <PERSON>?,X,,,,,
what jobs did harriet tubman have?,what jobs did <PERSON> have?,O,MATCH (p)-[r:OCCUPATION]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
where does unesco operate?,where does <ORGANIZATION> operate?,O,match (o)-[:HEADQUARTERS_LOCATION]-(loc) where o.name=<ORGANIZATION> return loc.name,,,,
what does canada grow for food?,what does <LOCATION> grow for food?,X,,,,,
where in the bible does it talk about david?,where in the bible does it talk about <PERSON>?,X,,,,,
what does amanda seyfried play in?,what does <PERSON> play in?,O,match (h:Human)-[:FILMOGRAPHY]-(f) where h.name=<PERSON> match (f)-[:HAS_PART]-(m) return m.name,,,,
what language do people speak in iran?,what language do people speak in <LOCATION>?,O,match (c)-[:OFFICIAL_LANGUAGE]-(ol) where c.name=<LOCATION> return ol.name,,,,
what is the jurisdiction of the us supreme court?,what is the jurisdiction of the <ORGANIZATION>?,X,,,,,
what voice does hank azaria do on the simpsons?,what voice does <PERSON> do on the simpsons?,X,,,,,
who is the leader of japan?,who is the leader of <LOCATION>?,O,match (loc)-[:HEAD_OF_GOVERNMENT]-(h) where loc.name=<LOCATION> return h.name,,,,
what time zone is the uk in right now?,what time zone is the <LOCATION> in <DATE>?,O,match (m)-[:LOCATED_IN_TIME_ZONE]-(n) where m.name = <LOCATION> return n.name,,,,
what instrument does bela fleck play?,what instrument does <PERSON> play?,O,match (h)-[:INSTRUMENT]-(i) where h.name=<PERSON> return i.name,,,,
what position does ray allen?,what position does <PERSON>?,X,,,,,
what branch is made up of the house of representatives?,what branch is made up of the <ORGANIZATION>?,X,,,,,
where did kurds originate from?,where did <MISC> originate from?,X,,,,,
where did chancellorsville battle take place?,where did <LOCATION> battle take place?,X,,,,,
what year was the cubs last world series?,what <DURATION> was the <ORGANIZATION> last world series?,X,,,,,
who is playing hawkeye in the avengers movie?,who is playing <LOCATION> in the avengers movie?,X,,,,,
what country speak english as native language?,what country speak <MISC> as native language?,O,match (c)-[:OFFICIAL_LANGUAGE]-(ol) where ol.name=<MISC> return c.name,,,,
who was king or queen after victoria?,who was king or queen after <PERSON>?,X,,,,,
what movie did rihanna play in?,what movie did <PERSON> play in?,O,match (h:Human)-[:FILMOGRAPHY]-(f) where h.name=<PERSON> match (f)-[:HAS_PART]-(m) return m.name,,,,
when was the last time the oakland raiders were in the super bowl?,when was the last time the <ORGANIZATION> were in the super bowl?,X,,,,,
what religion was mary todd lincoln?,what religion was <PERSON>?,O,match (h)-[:RELIGION]-(r) where h.name=<PERSON> return r.name,,,,
who is the house of representatives made up of?,who is the <ORGANIZATION> made up of?,X,,,,,
who all has jason kidd played for?,who all has <PERSON> played for?,X,,,,,
where is headquarters of verizon?,where is headquarters of <ORGANIZATION>?,O,match (o)-[:HEADQUARTERS_LOCATION]-(loc) where o.name=<ORGANIZATION> return loc.name,,,,
where is the country of cyprus located?,where is the country of <LOCATION> located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<LOCATION> return location.name,,,,
who invented dell computer?,who invented <ORGANIZATION> computer?,X,,,,,
where did morgan freeman come from?,where did <PERSON> come from?,O,match (h)-[:COUNTRY_OF_CITIZENSHIP]-(c) where h.name=<PERSON> return c.name,,,,
where did bob barker grow up?,where did <PERSON> grow up?,X,,,,,
what are king charles spaniels?,what are king <PERSON>?,O,match (h:Human) where h.name=<PERSON> return h.descEn,,,,
when was the chinese flag designed?,when was the <MISC> flag designed?,X,,,,,
where did boston terriers come from?,where did <ORGANIZATION> come from?,X,,,,,
what makes einstein smart?,what makes <PERSON> smart?,X,,,,,
who played juni in spy kids 4?,who played <PERSON> in spy kids <NUMBER>?,X,,,,,
what year did the new york mets start?,what year did the <ORGANIZATION> start?,O,match (o) where o.name=<ORGANIZATION> return o.inception,,,,
where did neil gaiman grow up?,where did <PERSON> grow up?,X,,,,,
what books did aristotle wrote?,what books did <PERSON> wrote?,O,match (m)-[:COMPOSER]-(w) where m.name=<PERSON> return w.name,,,,
where is eu headquarters located?,where is <LOCATION> headquarters located?,O,match (o)-[:HEADQUARTERS_LOCATION]-(loc) where o.name=<ORGANIZATION> return loc.name,,,,
who runs the cornelia marie now?,who runs the <PERSON> <DATE>?,X,,,,,
where did john muir die?,where did <PERSON> die?,O,MATCH (p)-[r:PLACE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
where was selena gomez raised?,where was <PERSON> raised?,X,,,,,
what countries are in the andean region?,what countries are in the <MISC> region?,X,,,,,
who created english alphabet?,who created <MISC> alphabet?,X,,,,,
when was the last time the san francisco giants won a world series?,when was the last time the <ORGANIZATION> won a <MISC>?,X,,,,,
what airport do you fly into for destin?,what airport do you fly into for <LOCATION>?,X,,,,,
who played violet's mother in charlie and the chocolate factory?,who played violet's mother in <PERSON> and the chocolate factory?,X,,,,,
what country was george washington from?,what country was <PERSON> from?,O,match (h)-[:COUNTRY_OF_CITIZENSHIP]-(c) where h.name=<PERSON> return c.name,,,,
what year did pete rose play?,what <DURATION> did <PERSON> play?,X,,,,,
where does kyla ross live?,where does <PERSON> live?,X,,,,,
when did allen iverson get drafted?,when did <PERSON> get drafted?,X,,,,,
what does jackson browne sing?,what does <PERSON> sing?,O,match (a)-[:PERFORMER]-(h) where h.name=<PERSON> and a:Song return a.name,,,,
who plays ferris bueller's best friend?,who plays <ORGANIZATION>'s best friend?,X,,,,,
what has anna kendrick been in?,what has <PERSON> been in?,X,,,,,
what are the major imports of the united states?,what are the major imports of the <LOCATION>?,X,,,,,
what are the team colors for the pittsburgh steelers?,what are the team colors for the <ORGANIZATION>?,X,,,,,
what is the current government system in france?,what is the <DATE> government system in <LOCATION>?,X,,,,,
what did roy rogers die of?,what did <PERSON> die of?,O,match (h)-[:CAUSE_OF_DEATH]-(c) where h.name=<PERSON> return c.name,,,,
what is calabria italy?,what is <LOCATION>?,O,match (h:Human) where h.name=<PERSON> return h.descEn,,,,
what did the new orleans hornets used to be?,what did the <ORGANIZATION> used to be?,X,,,,,
what are the major religions practiced in israel?,what are the major religions practiced in <LOCATION>?,O,match (loc)-[:OFFICIAL_RELIGION]-(r) where loc.name=<LOCATION> return r.name,,,,
what does jamaica manufacturer?,what does <LOCATION> manufacturer?,X,,,,,
what years did andrew jackson run for president?,what <DURATION> did <PERSON> run for president?,X,,,,,
what 4 countries make up great britain?,what <NUMBER> countries make up <LOCATION>?,O,match (c)-[:CONTAINS_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(t) where c.name=<LOCATION> return t.name,,,,
where did madoff live in nyc?,where did <PERSON> live in nyc?,X,,,,,
how many languages are there in the philippines?,how many languages are there in the <LOCATION>?,O,match (c)-[:LANGUAGE_USED]-(ul) where c.name=<LOCATION> return count(ul),,,,
what song is monifah famous for?,what song is <PERSON> famous for?,O,match (m)-[:COMPOSER]-(w) where m.name=<PERSON> return w.name,,,,
who did heinrich himmler marry?,who did <PERSON> marry?,O,match (h)-[:SPOUSE]-(s) where h.name=<PERSON> return s.name,,,,
who carries sherwin williams paint?,who carries <PERSON> paint?,X,,,,,
who was josh groban in crazy stupid love?,who was <PERSON> in crazy stupid love?,X,,,,,
where is the columbia university located?,where is the <ORGANIZATION> located?,O,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<ORGANIZATION> return location.name,,,,
what team does kris humphries play for in 2011?,what team does <PERSON> play for in <DATE>?,O,match (h:Human)-[:MEMBER_OF]-(b) where h.name=<PERSON> return b.name,,,,
what did the scientist thomson discover?,what did the scientist <PERSON> discover?,X,,,,,
where did john boehner come from?,where did <PERSON> come from?,O,match (h)-[:COUNTRY_OF_CITIZENSHIP]-(c) where h.name=<PERSON> return c.name,,,,
where did martin luther king junior go to college?,where did <PERSON> go to college?,O,match(h)-[:EDUCATED_AT]-(s) where h.name=<PERSON> return s.name,,,,
who was carrie underwood in soul surfer?,who was <PERSON> in soul surfer?,X,,,,,
who plays lois griffin in family guy?,who plays <PERSON> in family guy?,X,,,,,
what did julian fellowes write?,what did <PERSON> write?,O,match (m)-[:COMPOSER]-(w) where m.name=<PERSON> return w.name,,,,
where does selena gomez live map?,where does <PERSON> live map?,X,,,,,
who does the islam worship?,who does the <MISC> worship?,X,,,,,
who was married to lance armstrong?,who was married to <PERSON>?,O,MATCH (x)-[r:SPOUSE]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
what is venus named for?,what is <PERSON> named for?,O,match (m)-[:NAMED_AFTER]-(o) where m.name=<LOCATION> return o.name,,,,
who did john fox coach for?,who did <PERSON> coach for?,X,head_coach,,,,
where are the nuclear plants in uk?,where are the nuclear plants in uk?,X,,,,,
what years have the dodgers won the world series?,what <DURATION> have the <ORGANIZATION> won the <MISC>?,X,,,,,
what did farrah have surgery for?,what did <PERSON> have surgery for?,X,,,,,
who was the leader of the soviet union in 1945?,who was the leader of the <LOCATION> in <DATE>?,O,match (loc)-[:HEAD_OF_GOVERNMENT]-(h) where loc.name=<LOCATION> return h.name,,,,
who does john beck play for?,who does <PERSON> play for?,O,match (h:Human)-[:MEMBER_OF]-(b) where h.name=<PERSON> return b.name,,,,
what god do catholics believe in?,what god do <MISC> believe in?,X,no use,,,,
what movies have kenya moore produced?,what movies have <PERSON> produced?,X,no use,,,,
where did robbie hummel go to high school?,where did <PERSON> go to high school?,O,MATCH (p)-[:EDUCATED_AT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what year did the cleveland indians go to the world series?,what <DURATION> did the <ORGANIZATION> go to the world series?,X,no data,,,,
who owns the cleveland browns?,who owns the <ORGANIZATION>?,O,MATCH (o)-[:OWNED_BY]-(x) WHERE o.name = <ORGANIZATION> RETURN x.name,,,,
what language do jewish speak?,what language do <MISC> speak?,O,MATCH (m)-[:NATIVE_LANGUAGE]-(x) WHERE m.name=<MISC> RETURN x.name,,,,
what legal system does germany use?,what legal system does <LOCATION> use?,X,no use,,,,
who does danneel harris play on one tree hill?,who does <PERSON> play on <MOVIE>?,X,no relation,,,,
what inspired michelangelo?,what inspired <PERSON>?,X,no relation,,,,
what battle did germany surrender in ww2?,what battle did <LOCATION> surrender in <MISC>?,X,no use,,,,
who was the colts coach in 2011?,who was the <ORGANIZATION> coach in <DATE>?,X,no use,,,,
what airport is closer to downtown houston?,what airport is closer to downtown <LOCATION>?,X,no use,,,,
where does liz mcclarnon live?,where does <PERSON> live?,X,no relation,,,,
what city is fc schalke 04 in?,what city is fc <ORGANIZATION> <NUMBER> in?,X,no use,,,,
what system of government is used in south korea?,what system of government is used in <LOCATION>?,X,no use,,,,
where did giovanni da verrazano come from?,where did <PERSON> come from?,O,citizenship,,,,
what airport is close to daytona beach florida?,what airport is close to <LOCATION>?,X,no use,,,,
what was omar epps first movie?,what was <PERSON> <ORDINAL> movie?,X,no use,,,,
who did the baltimore ravens draft in 2011?,who did the <ORGANIZATION> in <DATE>?,X,no data with date,,,,
who won the governor election in puerto rico?,who won the governor election in <LOCATION>?,X,no data,,,,
where did william shakespeare perform most of his plays?,where did <PERSON> perform most of his plays?,X,no data,,,,
what group is aubrey o'day in?,what group is <PERSON> in?,O,MATCH (p)-[:MEMBER_OF]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what college did joe namath go to?,what college did <PERSON> go to?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> AND x:University OR x:UniversityCollege OR x:PublicUniversity RETURN x.name,,,,
what wild animals live in colorado?,what wild animals live in <LOCATION>?,X,no use,,,,
where is eu parliament?,where is <LOCATION> parliament?,X,no data,,,,
when does summer start in new england?,when does <DATE> start in <LOCATION>?,X,no data,,,,
who invented arabic alphabet?,who invented <MISC> alphabet?,X,no data,,,,
where was president lyndon johnson from?,where was <PERSON> from?,O,"MATCH (p)-[r:COUNTRY_OF_CITIZENSHIP]-(x) WHERE p.name=<PERSON> RETURN x.name
",,,,
what did wagner compose?,what did <PERSON> compose?,X,no relation,,,,
what language did jewish people speak?,what language did <MISC> people speak?,X,no relation,,,,
who does michael oher play for in 2009?,who does <PERSON> play for in <DATE>?,X,no use,,,,
what years did barry bonds play?,what <DURATION> did <PERSON> play?,X,no use,,,,
who played emma frost?,who played <PERSON>?,X,no use,,,,
what does the mayan calendar say about 2012?,what does the <MISC> calendar say <DATE>?,X,no data,,,,
what clubs has peter crouch played for?,what clubs has <PERSON> played for?,X,no use,,,,
who plays the brother in hannah montana?,who plays the brother in <LOCATION>?,X,no use,,,,
what team does lamar odom play for 2011?,what team does <PERSON> play for <DATE>?,X,no data,,,,
what highschool did tom brady go to?,what highschool did <PERSON> go to?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who owns skywest?,who owns <ORGANIZATION>?,O,MATCH (o)-[r:OWNED_BY]-(x) WHERE o.name = <ORGANIZATION> RETURN x.name,,,,
who did michael jordan marry?,who did <PERSON> marry?,O,MATCH p=(x)-[r:SPOUSE]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
where is the syracuse university?,where is the <ORGANIZATION>?,X,no data,,,,
what has mario lopez been in?,what has <PERSON> been in?,X,no data,,,,
where do logan browning live?,where do <PERSON> live?,X,no data,,,,
when did mcdonalds officially open?,when did <ORGANIZATION> officially open?,X,no data,,,,
what team does terrell owens play for this year?,what team does <PERSON> play for <DATE>?,X,no data,,,,
what to do with kids in halifax?,what to do with kids in <LOCATION>?,X,no data,,,,
where is lake waynoka ohio?,where is <LOCATION>?,X,no data,,,,
who did jeremy lin sign with?,who did <PERSON> sign with?,X,no data,,,,
who will sponsor kevin harvick in 2011?,who will sponsor <PERSON> in <DATE>?,X,no data,,,,
where adidas originate?,where <ORGANIZATION> originate?,O,MATCH (o)-[r:LOCATION_OF_FORMATION]-(x) WHERE o.name=<ORGANIZATION> RETURN x.name,,,,
who played emperor palpatine?,who played emperor <PERSON>?,O,MATCH (o)-[r:PERFORMER]-(x) WHERE o.name=<ORGANIZATION> RETURN x.name,,,,
what is 2pm est in philippines?,what is <TIME> est in <LOCATION>?,X,no data,,,,
where are the pyramids of giza located?,where are the pyramids of <LOCATION> located?,X,no use,,,,
when does sally pearson race tonight?,when does <PERSON> race <DATE>?,X,no relation,,,,
who were demeter's brothers and sisters?,who were <ORGANIZATION>'s brothers and sisters?,O,MATCH (p)-[r:SIBLING]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what instrument was louis armstrong famous for?,what instrument was <PERSON> famous for?,O,MATCH (p)-[r:INSTRUMENT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what date did the san francisco giants win the world series?,what date did the <ORGANIZATION> win the world series?,X,no data,,,,
what province is canada's capital located in?,what province is <LOCATION>'s capital located in?,O,MATCH (x)-[r:CAPITAL_OF]-(c) WHERE c.name = <LOCATION> RETURN x.name,,,,
on which continent is the usa located?,on which continent is the <LOCATION> located?,O,MATCH (c)-[r:CONTINENT]-(x) WHERE c.name=<LOCATION> RETURN x.name,,,,
where is singapore on a world map?,where is <LOCATION> on a world map?,X,no data,,,,
what to see in london in june 2012?,what to see in <LOCATION> in <DATE>?,X,no relation,,,,
what is the main language of israel?,what is the main language of <LOCATION>?,O,MATCH (p)-[r:LANGUAGE_USED]-(x) WHERE p.name = <LOCATION> RETURN x.name,,,,
what college did kerry collins?,what college did <PERSON>?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> AND x:University OR x:UniversityCollege OR x:PublicUniversity RETURN x.name,,,,
what did bob ross die of?,what did <PERSON> die of?,O,MATCH (p)-[r:CAUSE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who was king hussein?,who was <PERSON>?,O,MATCH x=(p)-[]-() WHERE p.name = <PERSON> RETURN x,광범위한 질문,,,
where did martin luther live in?,where did <PERSON> live in?,O,MATCH (p)-[r:COUNTRY_OF_CITIZENSHIP]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
where is made kia car?,where is made <MISC>?,X,no data,,,,
what are all the songs nicki minaj is in?,what are all the songs <PERSON> is in?,O,MATCH (x)-[]-(p) WHERE x:Song AND p.name = <PERSON> RETURN x.name,,,,
what groups was hitler involved in?,what groups was <PERSON> involved in?,O,MATCH (p)-[r:INSTANCE_OF]-(x) WHERE p.name=<PERSON> RETURN x.name UNION MATCH (p)-[:MEMBER_OF]-(x) WHERE p.name=<PERSON> RETURN x.name,,,,
what college did magic johnson go to?,what college did <PERSON> go to?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> AND x:University OR x:UniversityCollege OR x:PublicUniversity RETURN x.name,,,,
what kind of language do they speak in greece?,what kind of language do they speak in <LOCATION>?,O,MATCH (p)-[r:LANGUAGE_USED]-(x) WHERE p.name = <LOCATION> RETURN x.name,,,,
what to see in chicago downtown?,what to see in <LOCATION> downtown?,X,no data,,,,
what kind of money does the philippines use?,what kind of money does the <LOCATION> use?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,,,,
what did george eastman make?,what did <PERSON> make?,O,MATCH (p)-[r:COMPOSER]-(x) WHERE p.name = <PERSON> RETURN x.name,?,,,
what movies has billy burke been in?,what movies has <PERSON> been in?,X,no relation,,,,
who was rudolf virchow?,who was <PERSON>?,O,MATCH x=(p)-[]-() WHERE p.name = <PERSON> RETURN x,,,,
who were ulysses s grant and robert e lee?,who were ulysses s grant and <PERSON>?,X,no use,,,,
what is the last movie brittany murphy made?,what is the last movie <PERSON> made?,X,no use,,,,
with which countries does south africa trade?,with which countries does <LOCATION> trade?,X,no use,,,,
what kind of language do they speak in china?,what kind of language do they speak in <LOCATION>?,O,MATCH (p)-[r:LANGUAGE_USED]-(x) WHERE p.name = <LOCATION> RETURN x.name,,,,
what office does hillary clinton hold?,what office does <PERSON> hold?,X,no use,,,,
where does portuguese language come from?,where does <MISC> language come from?,X,no use,,,,
what are the major religions in uk?,what are the major religions in <LOCATION>?,O,MATCH (p)-[r:OFFICIAL_RELIGION]-(x) WHERE p.name = <LOCATION> RETURN x.name,,,,
where did jennifer hudson go to school?,where did <PERSON> go to school?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> AND x:University OR x:UniversityCollege OR x:PublicUniversity RETURN x.name,,,,
what type of guitar does john mayer play?,what type of guitar does <PERSON> play?,X,no data,,,,
when did toronto blue jays become a team?,when did <ORGANIZATION> become a team?,O,MATCH (o) WHERE o.name = <ORGANIZATION> RETURN o.inception,,,,
what is the zip code for moorpark ca?,what is the zip code for <LOCATION> ca?,X,no data,,,,
what continent is the usa located in?,what continent is the <LOCATION> located in?,O,MATCH (c:Country)-[:CONTINENT]-(e) WHERE e.name=<LOCATION> RETURN c.name,,,,
what is the currency of spain called?,what is the currency of <LOCATION> called?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,,,,
which country is to the north of the united states of america?,which country is to the north of the <LOCATION>?,X,no relation,,,,
what 3 states border the pacific ocean?,what <NUMBER> states border the <LOCATION>?,X,no relation,,,,
what did mozart do to become famous?,what did <PERSON> do to become famous?,O,MATCH (p)-[r:COMPOSER]-(x) WHERE p.name = <PERSON> RETURN x.name,?,,,
where was avril lavigne born?,where was <PERSON> born?,O,match (h:Human)-[:PLACE_OF_BIRTH]-(p) where h.name=<PERSON> return p.name ,,,,
what are the 3 official languages of spain?,what are the <NUMBER> official languages of <LOCATION>?,X,no use,,,,
what type of government does australia currently have?,what type of government does <LOCATION> <DATE> have?,X,no use,,,,
which countries do germany border?,which countries do <LOCATION> border?,X,no use,,,,
what county is tampa located in?,what county is <LOCATION> located in?,O,match (loc)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(county) where loc.name=<LOCATION> return county.name,,,,
who has coached the minnesota vikings?,who has coached the <ORGANIZATION>?,X,no use,,,,
what movies have queen latifah played in?,what movies have queen <PERSON> played in?,X,no use,,,,
what is the short name for stephanie?,what is the short name for <PERSON>?,X,no use,,,,
where are they now jessica mcclure?,where are they <DATE> <PERSON>?,X,no data,,,,
what year did tim duncan enter the nba?,what <DURATION> did <PERSON> enter the nba?,X,no data,,,,
who played alf on the tv show?,who played <PERSON> on <ORGANIZATION>?,X,no use,,,,
who was the vice president when bill clinton was in office?,who was the vice president when <PERSON> was in office?,X,no use,,,,
which countries does south africa export to?,which countries does <LOCATION> export to?,X,no use,,,,
what to do in downtown waukesha?,what to do in downtown <LOCATION>?,X,no data,,,,
what other cars does gm make?,what other cars does gm make?,X,no data,,,,
who did george lucas get engaged to?,who did <PERSON> get engaged to?,X,no data,,,,
what movies does leo howard play in?,what movies does <PERSON> play in?,X,no data,,,,
what instruments does john williams use?,what instruments does <PERSON> use?,O,MATCH (p)-[r:INSTRUMENT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who does messi play with?,who does <PERSON> play with?,O,MATCH (p)-[r:INSTRUMENT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what is the language spoken in brazil?,what is the language spoken in <LOCATION>?,O,MATCH (p)-[r:LANGUAGE_USED]-(x) WHERE p.name = <LOCATION> RETURN x.name,,,,
who was johnny cash's first wife?,who was <PERSON>'s <ORDINAL> wife?,X,no data,,,,
where do tasmanian devils live?,where do <MISC> devils live?,X,no data,,,,
what a city in montana?,what a city in <LOCATION>?,O,MATCH x=(:City)-[r]-(c) WHERE c.name = <LOCATION> RETURN x.name,,,,
what timezone is toronto canada?,what timezone is <LOCATION>?,O,match (m)-[:LOCATED_IN_TIME_ZONE]-(n) where m.name = <LOCATION> return n.name,,,,
what was the milwaukee brewers old name?,what was the <ORGANIZATION> old name?,X,no data,,,,
what type of political system does russia have?,what type of political system does <LOCATION> have?,X,no data,,,,
what is the political system in egypt?,what is the political system in <LOCATION>?,X,no data,,,,
what airport is in kauai hawaii?,what airport is in <LOCATION>?,X,no data,,,,
what is kevin durant play style?,what is <PERSON> play style?,X,no data,,,,
where are vw cc made?,where are <ORGANIZATION>?,X,no data,,,,
what team chris paul play for?,what team <PERSON> play for?,O,MATCH (x)-[r:HAS_PART]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
what currency should i take to jamaica?,what currency should i take to <LOCATION>?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,,,,
what is illinois state bird?,what is <LOCATION>?,O,MATCH x=(p)-[]-() WHERE p.name = <LOCATION> RETURN x,,,,
what places can you visit in france?,what places can you visit in <LOCATION>?,X,no use,,,,
what did richard nixon do for a living before he became president?,what did <PERSON> do for a living before he became president?,X,no data,,,,
what three continents touch the atlantic ocean?,what <NUMBER> continents touch the <LOCATION>?,X,no data,,,,
what language do u speak in egypt?,what language do u speak in <LOCATION>?,O,MATCH (p)-[r:OFFICIAL_LANGUAGE]-(x) WHERE p.name = <LOCATION> RETURN x.name,,,,
what teams has lionel messi played for?,what teams has <PERSON> played for?,O,MATCH (x)-[r:HAS_PART]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
what countries in north america continent?,what countries in <LOCATION> continent?,O,MATCH (c:Country)-[:CONTINENT]-(e) WHERE e.name=<LOCATION> RETURN c.name,,,,
what time zone is colorado springs co?,what time zone is <LOCATION>?,O,MATCH (o)-[r:LOCATED_IN_TIME_ZONE]-(x) WHERE o.name = <LOCATION> RETURN x.name,,,,
what school did sergio romo go to?,what school did <PERSON> go to?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who did adam sandler married?,who did <PERSON> married?,O,MATCH p=(x)-[r:SPOUSE]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
when did the name jehovah first appear?,when did the name <PERSON> <ORDINAL> appear?,X,no data,,,,
who play luke skywalker?,who play <PERSON>?,X,no data,,,,
what is the best island to visit in greece?,what is the best island to visit in <LOCATION>?,X,no data,,,,
where did john howard live?,where did <PERSON> live?,O,MATCH (p)-[r:COUNTRY_OF_CITIZENSHIP]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what music did beethoven composed?,what music did <PERSON> composed?,O,MATCH x=(p)<-[]-(s:Song) WHERE p.name= <PERSON> RETURN s.name,,,,
what does the name rome mean?,what does the name <LOCATION> mean?,X,no data,,,,
what inspired scott fitzgerald?,what inspired <PERSON>?,O,MATCH (p)-[r:INFLUENCED_BY]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what did george steinbrenner do?,what did <PERSON> do?,O,MATCH (p)-[r:COMPOSER]-(x) WHERE p.name = <PERSON> RETURN x.name,?,,,
who was hadrian and what did he do?,who was <PERSON> and what did he do?,O,MATCH x=(p)-[]-() WHERE p.name = <PERSON> RETURN x,,,,
what influenced langston hughes to write?,what influenced <PERSON> to write?,O,MATCH (p)-[r:INFLUENCED_BY]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
where did pablo picasso die?,where did <PERSON> die?,O,MATCH (p)-[r:PLACE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
what to do in seattle during the summer?,what to do in <LOCATION> during the <DATE>?,X,no data,,,,
where did henry hudson travel?,where did <PERSON> travel?,X,no data,,,,
who was judy collins married to?,who was <PERSON> married to?,O,MATCH p=(x)-[r:SPOUSE]-(p) WHERE p.name = <PERSON> RETURN x.name,,,,
when was the last time the toronto maple leafs make the playoffs?,when was the last time the <ORGANIZATION> make the playoffs?,X,,,,,
what do they speak in cambodia?,what do they speak in <LOCATION>?,O,MATCH (p)-[r:OFFICIAL_LANGUAGE]-(x) WHERE p.name = <LOCATION> RETURN x.name,,,,
what kind of insurance does geico offer?,what kind of insurance does <ORGANIZATION> offer?,X,,,,,
who is the prime minister of new zealand now?,who is the prime minister of <LOCATION> <DATE>?,X,,,,,
what time is nebraska now?,what time is <LOCATION> <DATE>?,X,,,,,
what did nick carter sister died of?,what did <PERSON> sister died of?,O,MATCH (p)-[r:SIBLING]-(s)-[:CAUSE_OF_DEATH]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who is james dean?,who is <PERSON>?,O,MATCH x=(p)-[]-() WHERE p.name = <PERSON> RETURN x,,,,
where did bob dylan live?,where did <PERSON> live?,O,MATCH (p)-[r:COUNTRY_OF_CITIZENSHIP]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who do roman catholics give authority to?,who do <MISC> give authority to?,X,,,,,
where did pres. obama go to school?,where did <PERSON> go to school?,O,MATCH (p)-[r:EDUCATED_AT]-(x) WHERE p.name = <PERSON> RETURN x.name,,,,
who is nina dobrev playing in perks of being a wallflower?,who is <PERSON> playing in perks of being a wallflower?,X,,,,,
when did moscow burn?,when did <LOCATION> burn?,X,,,,,
